nombre_producto	unidad_medida	cantidad	precio	moneda	pais	cotizacion USD	Valor_prod_USD	USD x cant
Cetaphil Moisturizing Cream	ml	250	32000	ARS	Argentina	0,000677	 21,66 	 0,09 
Nivea Creme Hidratante	ml	400	15,9	BRL	Brasil	0,1933	 3,07 	 0,01 
Neutrogena Hydro Boost Water Gel	ml	50	22,99	AUD	Australia	0,6899	 15,86 	 0,32 
L'Oreal Paris Revitalift Crema Día	ml	50	12,5	EUR	España	1,138	 14,23 	 0,28 
Simple Kind to Skin Moisturiser	ml	125	8,99	AUD	Australia	0,6899	 6,20 	 0,05 
La Roche-Posay Toleriane Hidratante	ml	40	29,99	AUD	Australia	0,6899	 20,69 	 0,52 
Dove Body Lotion Original	ml	400	1899	ARS	Argentina	0,000677	 1,29 	 0,00 
Eucerin Aquaphor Crema Reparadora	ml	45	9,95	EUR	España	1,138	 11,32 	 0,25 
Olay Regenerist Micro-Sculpting Cream	g	50	269,9	BRL	Brasil	0,1933	 52,17 	 1,04 
Bioderma Sensibio H2O	ml	500	18,5	EUR	España	1,138	 21,05 	 0,04 
Garnier Micellar Cleansing Water	ml	400	4800	ARS	Argentina	0,000677	 3,25 	 0,01 
Vaseline Intensive Care Body Lotion	ml	600	24,99	AUD	Australia	0,6899	 17,24 	 0,03 
Avene Eau Thermale Spring Water	ml	150	12,99	EUR	España	1,138	 14,78 	 0,10 
Soap & Glory Body Butter	ml	300	25,5	AUD	Australia	0,6899	 17,59 	 0,06 
Eucerin UreaRepair Plus Lotion	ml	250	14,99	EUR	España	1,138	 17,06 	 0,07 
Loreal Hydra Genius Sérum	ml	70	2599	ARS	Argentina	0,000677	 1,76 	 0,03 
Clean & Clear Gel de Limpeza	ml	150	18,9	BRL	Brasil	0,1933	 3,65 	 0,02 
Avon Renew Clinical Retinol	ml	30	89,9	BRL	Brasil	0,1933	 17,38 	 0,58 
Payot Crème No2	ml	50	29,99	EUR	España	1,138	 34,13 	 0,68 
Ego QV Moisturising Cream	g	500	18,99	AUD	Australia	0,6899	 13,10 	 0,03 
Kiehl's Ultra Facial Cream	ml	125	65000	ARS	Argentina	0,000677	 44,01 	 0,35 
Ponds Cold Cream	g	200	49,9	BRL	Brasil	0,1933	 9,65 	 0,05 
Estee Lauder Advanced Night Repair	ml	30	59,99	AUD	Australia	0,6899	 41,39 	 1,38 
Clinique Moisture Surge	ml	75	34,5	EUR	España	1,138	 39,26 	 0,52 
Aloe Vera Gel Bonne Bell	ml	200	2800	ARS	Argentina	0,000677	 1,90 	 0,01 
Vichy Liftactiv Collagen Specialist	ml	50	25,99	EUR	España	1,138	 29,58 	 0,59 
Sukin Facial Moisturiser	ml	125	14,99	AUD	Australia	0,6899	 10,34 	 0,08 
Darrow Nupill Facial Cream	g	40	79,9	BRL	Brasil	0,1933	 15,44 	 0,39 
Dove Crema Corporal Original	ml	250	3800	ARS	Argentina	0,000677	 2,57 	 0,01 
ROC Retinol Correxion	ml	30	14,99	EUR	España	1,138	 17,06 	 0,57 
Thursday Plantation Tea Tree Face Wash	ml	200	12,99	AUD	Australia	0,6899	 8,96 	 0,04 
Neutrogena Clean & Clear Gel	ml	80	29,9	BRL	Brasil	0,1933	 5,78 	 0,07 
Isdin Ureadin Lotion	ml	400	16,5	EUR	España	1,138	 18,78 	 0,05 
Fotoprotector ISDIN SPF50+	ml	50	18	EUR	España	1,138	 20,48 	 0,41 
Banana Boat Sunscreen Lotion	ml	240	15,99	AUD	Australia	0,6899	 11,03 	 0,05 
L'Bel Hydractiv 360	ml	60	18000	ARS	Argentina	0,000677	 12,19 	 0,20 
Nívea Protetor Solar FPS50	ml	200	39,9	BRL	Brasil	0,1933	 7,71 	 0,04 
Cerave Facial Moisturizing Lotion	ml	52	21000	ARS	Argentina	0,000677	 14,22 	 0,27 
Bioderma ABCDerm Babysquam	g	40	8,99	EUR	España	1,138	 10,23 	 0,26 
Cancer Council Sunscreen SPF50+	ml	500	18,99	AUD	Australia	0,6899	 13,10 	 0,03 
Natura Tododia Hidratante Corporal	ml	200	34,9	BRL	Brasil	0,1933	 6,75 	 0,03 
Johnsons Baby Lotion Clasica	ml	200	4500	ARS	Argentina	0,000677	 3,05 	 0,02 
Hinds Crema Clasica	ml	250	3200	ARS	Argentina	0,000677	 2,17 	 0,01 
Nivea Creme Lata Azul	ml	150	1599	ARS	Argentina	0,000677	 1,08 	 0,01 
Pond's Crema Humectante	g	200	1499	ARS	Argentina	0,000677	 1,01 	 0,01 
St. Ives Crema Corporal Avena	ml	400	2199	ARS	Argentina	0,000677	 1,49 	 0,00 
Neutrogena Hydro Boost Aqua Gel	ml	50	4899	ARS	Argentina	0,000677	 3,32 	 0,07 
La Roche-Posay Effaclar Gel	ml	200	48000	ARS	Argentina	0,000677	 32,50 	 0,16 
Bioderma Micellar Solution Argentina	ml	500	42000	ARS	Argentina	0,000677	 28,43 	 0,06 
Yanbal Genesis Crema Reafirmante	ml	200	3800	ARS	Argentina	0,000677	 2,57 	 0,01 
Farmacias Similares Crema Hidratante	g	100	7500	ARS	Argentina	0,000677	 5,08 	 0,05 
Revlon Age Defying Crema	ml	50	3200	ARS	Argentina	0,000677	 2,17 	 0,04 
Cicatricure Crema Facial Antiage	g	50	2799	ARS	Argentina	0,000677	 1,89 	 0,04 
Natura Chronos Hidratante 40+	ml	40	89,9	BRL	Brasil	0,1933	 17,38 	 0,43 
O Boticario Nativa SPA Oleo Corporal	ml	200	79,9	BRL	Brasil	0,1933	 15,44 	 0,08 
